category_ar,category_en,product_ar,product_en,description,price
مشروبات ساخنة,Hot Drinks,إسبريسو,ESPRESSO,,35
مشروبات ساخنة,Hot Drinks,دبل إسبريسو,DOUBLE ESPRESSO,,45
مشروبات ساخنة,Hot Drinks,كابتشينو,CAPPUCCINO,,45
مشروبات ساخنة,Hot Drinks,كابتشينو تياترو,TEATRO CAPPUCCINO,,55
مشروبات ساخنة,Hot Drinks,موكاتشينو,MOCHACHINO,,55
مشروبات ساخنة,Hot Drinks,موكا,MOCHA,,50
مشروبات ساخنة,Hot Drinks,وايت موكا,WHITE MOCHA,,50
مشروبات ساخنة,Hot Drinks,لاتيه,LATTE,,45
مشروبات ساخنة,Hot Drinks,سبانش لاتيه,SPANISH LATTE,,50
مشروبات ساخنة,Hot Drinks,لاتيه فانيليا بالقرفة,CINNAMON VANILLA LATTE,,50
مشروبات ساخنة,Hot Drinks,كراميل لاتيه,CARAMEL LATTE,,50
مشروبات ساخنة,Hot Drinks,أمريكان كوفي,AMERICAN COFFEE,,40
مشروبات ساخنة,Hot Drinks,نسكافيه,NESCAFE,,40
مشروبات ساخنة,Hot Drinks,قهوة تركي,TURKISH COFFEE,,35
مشروبات ساخنة,Hot Drinks,قهوة تركي دبل,DOUBLE TURKISH COFFEE,,45
مشروبات ساخنة,Hot Drinks,قهوة فرنساوي,FRENCH COFFEE,,45
مشروبات ساخنة,Hot Drinks,قهوة بالبندق,HAZELNUT COFFEE,,50
مشروبات ساخنة,Hot Drinks,شاي,TEA,,30
مشروبات ساخنة,Hot Drinks,شاي باللبن,TEA WITH MILK,,40
مشروبات ساخنة,Hot Drinks,شاي أخضر بالنعناع,GREEN TEA WITH MINT,,30
مشروبات ساخنة,Hot Drinks,أعشاب طبيعية,NATURAL HERBS,أنيسون، نعناع، زنجبيل، قرفة,35
مشروبات ساخنة,Hot Drinks,أنتي فلو,ANTI FLU,برتقال، زنجبيل، أنيسون، ليمون، عسل، نعناع,50
مشروبات ساخنة,Hot Drinks,هوت شوكولاتة,HOT CHOCOLATE,,50
مشروبات ساخنة,Hot Drinks,هوت سايدر,HOT CIDER,,50
مشروبات ساخنة,Hot Drinks,سحلب,SAHLAB,,45
مشروبات ساخنة,Hot Drinks,سحلب بالمكسرات,SAHLAB NUTS,,55
مشروبات ساخنة,Hot Drinks,سحلب بالفواكه,SAHLAB FRUITS,,55
مشروبات ساخنة,Hot Drinks,سحلب أوريو,SAHLAB OREO,,55
فرابيه,Frappe,كارميل فرابيه,Carmel Frappe,,75
فرابيه,Frappe,لوتس فرابيه,Lotus Frappe,,80
فرابيه,Frappe,فانيليا فرابيه,Vanilla Frappe,,70
فرابيه,Frappe,شوكليت فرابيه,Chocolate Frappe,,70
فرابيه,Frappe,موكا فرابيه,Mocha Frappe,,75
فرابيه,Frappe,توفي فرابيه,Toffee Frappe,,70
فرابيه,Frappe,سنيكرز فرابيه,Snickers Frappe,,80
فرابيه,Frappe,كوكيز فرابيه,Frappe Cookies,,75
سموزي,Smoothie,باشون مانجو سموزي,Passion Mango,,75
سموزي,Smoothie,بلو بانانا سموزي,Blue Banana,,75
سموزي,Smoothie,ليمون بالنعناع سموزي,Lemon Mint,,65
سموزي,Smoothie,فراولة سموزي,Smoothie Strawberry,,60
سموزي,Smoothie,ميكس بيري سموزي,Mix Berry Smoothie,,65
مشروبات غازية ومياه,Soft Drinks,بيبسي / سفن اب / ميرندا,,,40
مشروبات غازية ومياه,Soft Drinks,فيروز / بيريل,,,40
مشروبات غازية ومياه,Soft Drinks,شويبس,,,40
مشروبات غازية ومياه,Soft Drinks,ريدبل,Red Bull,,80
مشروبات غازية ومياه,Soft Drinks,مياه صغيرة,Small Water,,20
مشروبات غازية ومياه,Soft Drinks,مياه كبيرة,Big Water,,35
كوكتيل,Cocktail,تياترو ميكس,Tiatro Mix,,85
كوكتيل,Cocktail,فلوريدا,Florida,,85
كوكتيل,Cocktail,تياترو كوكتيل,Tiatro Cocktail,,90
كوكتيل,Cocktail,بلو كوكونت,Blue Coconut,,85
كوكتيل,Cocktail,ستروبري ووتر ميلون,Strawberry Water Melon,,80
كوكتيل,Cocktail,تانجو,Tango,,85
كوكتيل,Cocktail,بانانا بلو بيري,Banana Blueberry,,85
كوكتيل,Cocktail,ستروبري كيوي,Strawberry Kiwi,,85
كوكتيل,Cocktail,زبادي عسل,Honey Yogurt,,60
كوكتيل,Cocktail,زبادي فواكه,Fruit Yogurt,,70
كوكتيل,Cocktail,افوكادو كوكتيل,Avocado Cocktail,,110
